flow,compartment,unit,amount
Radon-222,Emissions / Emissions to air,kilo Becquerel,224.27446862850775
"Noble Gases, Radioactive, Unspecified",air,kilo Becquerel,63.03073554243718
Waste Heat,air,megajoule,21.503240148852356
Water,Emissions / Emissions to water,cubic meter,17.77505929603102
Water to turbine,Resources / Resources from water,cubic meter,17.68864717357491
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,15.818448991621754
Crude Oil,Resources / Resources from ground,megajoule,10.84998550628486
Natural Gas,Resources / Resources from ground,megajoule,9.750732745772556
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,9.012113272018713
Waste Heat,air,megajoule,8.997439359557278
Waste Heat,water,megajoule,3.7642804571593893
Uranium,Resources / Resources from ground,megajoule,3.1607772397038043
Sulfate,"emissions to water / groundwater, long-term",kilogram,3.116437582114573
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,2.5373138021927737
Hard Coal,Resources / Resources from ground,megajoule,2.4974041398876135
"Energy, Potential (in Hydropower Reservoir), Converted",natural resource,megajoule,2.3767323312776134
Radon-222,Emissions / Emissions to air,kilo Becquerel,2.161417517252108
Brown Coal,Resources / Resources from ground,megajoule,1.5741495527820029
calcium,Emissions / Emissions to water,kilogram,0.9710066185041878
Krypton-85,Emissions / Emissions to air,kilo Becquerel,0.8818010573808777
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.8358578994864899
"Radioactive species, unspecified",emissions to air / unspecified,kilo Becquerel,0.8355643105521104
"Energy, gross calorific value, in biomass",resources / biotic,megajoule,0.8313475630796336
Waste Heat,air,megajoule,0.7894350166418166
"Water, salt, ocean",resources / in water,cubic meter,0.7112247785691374
Water,water,cubic meter,0.71088621357153
"Energy, Kinetic (in Wind), Converted",natural resource,megajoule,0.698010606747869
magnesium,Emissions / Emissions to water,kilogram,0.5959698037226907
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.4512706831808183
Sulfate Ion,water,kilogram,0.45117227929057657
"Noise, rail, freight train",non material emissions / unspecified,ton kilometer,0.41634790514263326
"Noise, road, lorry, average",non material emissions / unspecified,kilometer,0.41277830657873904
Gravel,soil,kilogram,0.39511481590293446
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.3404901507486152
Potassium,"emissions to water / groundwater, long-term",kilogram,0.33541422504890345
"Energy, Solar, Converted",natural resource,megajoule,0.2900776155752207
iron,Emissions / Emissions to water,kilogram,0.21024914550287288
Calcite,resources / in ground,kilogram,0.1662972280409995
"Waste mass, total, placed in landfill",resources / in ground,kilogram,0.13271044322477626
Copper,Resources / Resources from ground,kilogram,0.1311002700010996
Sodium,"emissions to water / groundwater, long-term",kilogram,0.12018901368851842
Silicon,Emissions / Emissions to water,kilogram,0.10915443881955461
Mineral Extraction Site,Land use / Land occupation,square meter-year,0.10362467907138746
Dump Site,Land use / Land occupation,square meter-year,0.09667027948326659
