flow,compartment,unit,amount
Radon-222,Emissions / Emissions to air,kilo Becquerel,1.2077176896330504
Waste Heat,air,megajoule,0.8252005990354614
Natural Gas,Resources / Resources from ground,megajoule,0.7609986161566695
"Noble Gases, Radioactive, Unspecified",air,kilo Becquerel,0.408935616983504
"Water, salt, ocean",resources / in water,cubic meter,0.05167602236198194
Water,water,cubic meter,0.051674489275117676
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.03996002823226621
Waste Heat,air,megajoule,0.03624498748798682
Water,Emissions / Emissions to water,cubic meter,0.029487847642689084
Water to turbine,Resources / Resources from water,cubic meter,0.029351681029894272
Crude Oil,Resources / Resources from ground,megajoule,0.028998577376617343
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,0.01647064312721383
Uranium,Resources / Resources from ground,megajoule,0.016399860626535614
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,0.014586577731135714
Waste Heat,water,megajoule,0.012827531447282737
Radon-222,Emissions / Emissions to air,kilo Becquerel,0.011399749360076457
Gravel,soil,kilogram,0.00787811367011124
Hard Coal,Resources / Resources from ground,megajoule,0.007790500617037535
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.004660220777187884
"Energy, Potential (in Hydropower Reservoir), Converted",natural resource,megajoule,0.00465736962481061
Brown Coal,Resources / Resources from ground,megajoule,0.004018210588971205
Waste Heat,air,megajoule,0.003398746906441965
"Waste mass, total, placed in landfill",resources / in ground,kilogram,0.0032716689016103954
"Energy, Kinetic (in Wind), Converted",natural resource,megajoule,0.003250294890134909
Radium-226,Emissions / Emissions to water,kilo Becquerel,0.0027763484223318757
"Noise, rail, freight train",non material emissions / unspecified,ton kilometer,0.002542940674166522
"Energy, gross calorific value, in biomass",resources / biotic,megajoule,0.0025033452960254933
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.0021005027153309834
"Energy, Solar, Converted",natural resource,megajoule,0.0016539595402531738
Chemically polluted water,emissions to water / river,kilogram,0.0016431894648264507
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,0.0013780818796891184
"Noise, road, lorry, average",non material emissions / unspecified,kilometer,0.0012113706290389635
Krypton-85,Emissions / Emissions to air,kilo Becquerel,0.0007205863772170733
Iron,Resources / Resources from ground,kilogram,0.0006280398162057166
"Radioactive species, unspecified",emissions to air / unspecified,kilo Becquerel,0.0006149923448577209
Calcite,resources / in ground,kilogram,0.00045291180918375387
Chloride,Emissions / Emissions to water,kilogram,0.00044551308977091393
Chloride,Emissions / Emissions to water,kilogram,0.00034127706152777394
Radium-228,water,kilo Becquerel,0.00031048690372803615
Sodium,water,kilogram,0.0003012283694865242
Lead-210,water,kilo Becquerel,0.0002961252534170636
carbon dioxide (biogenic),Resources / Resources from air,kilogram,0.00026647277434366755
Hydrogen-3,Emissions / Emissions to air,kilo Becquerel,0.00025595386844465474
Platinum,air,kilogram,0.00023914781218383166
Methane (fossil),Emissions / Emissions to air,kilogram,0.00023863227625322626
"Forest, Intensive",Land use / Land occupation,square meter-year,0.00022723960977633558
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,0.00018271598599520824
"Volume Occupied, Reservoir",land use,cubic meter-year,0.00016947664602968298
"Heat, waste","emissions to water / groundwater, long-term",megajoule,0.00016592742325217694
Sodium chloride,resources / in ground,kilogram,0.00016316028001275813
calcium,Emissions / Emissions to water,kilogram,0.00014367707009129923
Nitrogen Oxides,Emissions / Emissions to air,kilogram,0.00014229855428046044
Radium-228,water,kilo Becquerel,0.0001390809752939321
Lead-210,water,kilo Becquerel,0.0001320637807155843
Sulfate,"emissions to water / groundwater, long-term",kilogram,0.00012238239714493828
Hypochlorite,water,kilogram,0.00010927546571024802
Barite,resources / in ground,kilogram,0.00010663518061727465
Xenon-133,Emissions / Emissions to air,kilo Becquerel,0.00010660962975954973
Sodium,water,kilogram,0.00010172235999183116
Water To Cooling,Resources / Resources from water,cubic meter,9.590735344547417e-05
Sodium,"emissions to water / groundwater, long-term",kilogram,9.358359736365254e-05
Waste Heat,soil,megajoule,9.293661135811733e-05
Silicon,Emissions / Emissions to water,kilogram,9.267780869366761e-05
Dolomite,soil,kilogram,9.232158994201002e-05
Strontium-90,Emissions / Emissions to water,kilo Becquerel,8.802312833208052e-05
"Noise, aircraft, passenger",non material emissions / unspecified,person kilometer,8.38788342029408e-05
Radium-224,water,kilo Becquerel,7.82891215882085e-05
Methane (fossil),Emissions / Emissions to air,kilogram,7.470827403031644e-05
Potassium,"emissions to water / groundwater, long-term",kilogram,7.071045206933317e-05
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,6.534566189419343e-05
Magnesite,soil,kilogram,6.3884761547e-05
Thorium-228,water,kilo Becquerel,6.208106114117421e-05
Water Bodies,land use,square meter-year,6.031493239673209e-05
Calcium,Emissions / Emissions to water,kilogram,5.3865583284324256e-05
Waste Heat,water,megajoule,4.909615281710234e-05
Clay,soil,kilogram,4.462278454281595e-05
Water,Resources / Resources from water,cubic meter,4.3629284606342615e-05
"COD, Chemical Oxygen Demand","emissions to water / groundwater, long-term",kilogram,4.3551736566905637e-05
Carbon-14,Emissions / Emissions to air,kilo Becquerel,4.326940549630304e-05
Peat,Resources / Resources from ground,megajoule,4.32316958370108e-05
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,4.133742601000784e-05
Industrial Area,Land use / Land occupation,square meter-year,3.754585626100944e-05
Xenon-135,air,kilo Becquerel,3.7088199710958045e-05
Krypton-85,Emissions / Emissions to air,kilo Becquerel,3.670967072145984e-05
Forest,Land use / Land occupation,square meter-year,3.659153048574248e-05
"Energy, Gross Calorific Value, In Biomass, Primary Forest",natural resource,megajoule,3.655522379304758e-05
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,3.5277568662877815e-05
Radium-224,water,kilo Becquerel,3.506962768573923e-05
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,3.338051858315627e-05
magnesium,Emissions / Emissions to water,kilogram,3.221101176766321e-05
Waste Heat,water,megajoule,2.7912411901102744e-05
Thorium-228,water,kilo Becquerel,2.780343431494046e-05
