flow,compartment,unit,amount
Radon-222,Emissions / Emissions to air,kilo Becquerel,320.3088909308373
"Noble Gases, Radioactive, Unspecified",air,kilo Becquerel,108.86173440214255
Water,Emissions / Emissions to water,cubic meter,6.464652182530921
Water to turbine,Resources / Resources from water,cubic meter,6.460768453462704
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,4.381385247761412
Uranium,Resources / Resources from ground,megajoule,4.3162013935977495
Radon-222,Emissions / Emissions to air,kilo Becquerel,2.8177935065034454
Waste Heat,air,megajoule,2.6999873795241203
"Energy, Potential (in Hydropower Reservoir), Converted",natural resource,megajoule,1.1116540398066013
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,0.5883407828420782
Waste Heat,air,megajoule,0.5405840265331562
Natural Gas,Resources / Resources from ground,megajoule,0.46568007923458155
Waste Heat,air,megajoule,0.2703959332941722
"Energy, Kinetic (in Wind), Converted",natural resource,megajoule,0.22062068711852076
"Energy, gross calorific value, in biomass",resources / biotic,megajoule,0.18748001583704887
Brown Coal,Resources / Resources from ground,megajoule,0.17859940668384927
"Energy, Solar, Converted",natural resource,megajoule,0.12925370618842927
Hard Coal,Resources / Resources from ground,megajoule,0.12689622245245372
Crude Oil,Resources / Resources from ground,megajoule,0.09990941797037466
Xenon-133,Emissions / Emissions to air,kilo Becquerel,0.06881659872964226
Hydrogen-3,Emissions / Emissions to air,kilo Becquerel,0.060601857488030535
Waste Heat,water,megajoule,0.05840809842393282
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.03766914502364589
"Water, salt, ocean",resources / in water,cubic meter,0.031394844889380796
Gravel,soil,kilogram,0.031063667190267073
Water,water,cubic meter,0.031040727326032178
Xenon-135,air,kilo Becquerel,0.02789768200093828
"Volume Occupied, Reservoir",land use,cubic meter-year,0.02682186126311461
"Waste mass, total, placed in landfill",resources / in ground,kilogram,0.02540003846949747
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,0.023648203442674976
"Noise, rail, freight train",non material emissions / unspecified,ton kilometer,0.021660708870116303
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.02121035948492592
"Forest, Intensive",Land use / Land occupation,square meter-year,0.02066452396726938
carbon dioxide (biogenic),Resources / Resources from air,kilogram,0.018944478322749304
Xenon-135m,air,kilo Becquerel,0.018256365705430006
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,0.01552339895809434
Carbon-14,Emissions / Emissions to air,kilo Becquerel,0.014377950989412422
Waste Heat,soil,megajoule,0.01285864861615584
Radium-226,Emissions / Emissions to water,kilo Becquerel,0.011558950124949915
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,0.011002280518887781
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.009239273275952873
Krypton-85,Emissions / Emissions to air,kilo Becquerel,0.006761769816799472
Sulfate,"emissions to water / groundwater, long-term",kilogram,0.006695230358470536
Calcite,resources / in ground,kilogram,0.0052454064180351935
calcium,Emissions / Emissions to water,kilogram,0.00486963700823483
Clay,soil,kilogram,0.004516780252762706
Forest,Land use / Land occupation,square meter-year,0.004324612102251128
Xenon-138,air,kilo Becquerel,0.00428015004352488
"Radioactive species, unspecified",emissions to air / unspecified,kilo Becquerel,0.003984520443547233
river water,Resources / Resources from water,cubic meter,0.003095332371022618
Platinum,air,kilogram,0.003034187623844948
Thorium-230,water,kilo Becquerel,0.0029332284882094854
Strontium-90,Emissions / Emissions to water,kilo Becquerel,0.0028730878287128794
Cesium-137,Emissions / Emissions to water,kilo Becquerel,0.0021087531909955762
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,0.0020664629540550743
Xenon-131m,air,kilo Becquerel,0.002000398671084081
"Noise, road, lorry, average",non material emissions / unspecified,kilometer,0.0017137413629031777
Iron,Resources / Resources from ground,kilogram,0.0016265858840004298
Krypton-85m,air,kilo Becquerel,0.0016142568014701588
Krypton-85,Emissions / Emissions to air,kilo Becquerel,0.001412431135836955
Silicon,Emissions / Emissions to water,kilogram,0.0013849078053765045
Chemically polluted water,emissions to water / river,kilogram,0.0013673225295436952
Water To Cooling,Resources / Resources from water,cubic meter,0.001211062074599414
magnesium,Emissions / Emissions to water,kilogram,0.0010316388167661312
Waste Heat,water,megajoule,0.0008991351576102317
Uranium alpha,emissions to water / river,kilo Becquerel,0.0008026672893887918
Sodium,"emissions to water / groundwater, long-term",kilogram,0.000774090635923191
Water Bodies,land use,square meter-year,0.0006553048734907762
Inland Water Bodies,land use,square meter-year,0.0006526128686750416
Potassium,"emissions to water / groundwater, long-term",kilogram,0.000642483733826387
Uranium alpha,emissions to water / lake,kilo Becquerel,0.0006055515647268816
Ground Water,Resources / Resources from water,cubic meter,0.0005945675385351991
Sulfate Ion,water,kilogram,0.0005756389444461761
Xenon-137,air,kilo Becquerel,0.000572796529729094
Industrial Area,Land use / Land occupation,square meter-year,0.000570957319433599
Krypton-88,air,kilo Becquerel,0.0004985013959050889
Argon-41,air,kilo Becquerel,0.00043071964657436423
Chloride,Emissions / Emissions to water,kilogram,0.000398629521964882
Copper,Resources / Resources from ground,kilogram,0.00038010080263041945
Krypton-87,air,kilo Becquerel,0.0003798376560608268
iron,Emissions / Emissions to water,kilogram,0.00035875640042036836
"Heat, waste","emissions to water / groundwater, long-term",megajoule,0.00035175630743882223
Sodium chloride,resources / in ground,kilogram,0.0003491381129547531
Water,air,cubic meter,0.0003277608070006558
"Traffic Area, Rail/road Embankment",Land use / Land occupation,square meter-year,0.0003073433718670178
Chloride,Emissions / Emissions to water,kilogram,0.0002723634379818006
Waste water,emissions to water / river,kilogram,0.00025682009049564467
Dolomite,soil,kilogram,0.0002449353041368815
Water,Resources / Resources from water,cubic meter,0.0002439219737813001
Waste Heat,water,megajoule,0.00022992879194665407
"To Forest, Intensive",Land use / Land transformation,square meter,0.0002288266684547932
"From Forest, Intensive",Land use / Land transformation,square meter,0.0002286540525398381
aluminium,Emissions / Emissions to water,kilogram,0.00022788333112056547
"COD, Chemical Oxygen Demand","emissions to water / groundwater, long-term",kilogram,0.0002261202920812841
Carbon Dioxide (land Use Change),Emissions / Emissions to air,kilogram,0.00022577274269866917
lake water,Resources / Resources from water,cubic meter,0.0002200855492060962
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,0.0002127815229794652
Krypton-89,air,kilo Becquerel,0.00020940123220271117
Phosphate,Emissions / Emissions to water,kilogram,0.00020195327409176488
Aluminium,Resources / Resources from ground,kilogram,0.00019974438644149595
Radium-228,water,kilo Becquerel,0.00018951278050029278
Lead-210,water,kilo Becquerel,0.00018740360267421213
Sodium,water,kilogram,0.00018314846880851008
Dump Site,Land use / Land occupation,square meter-year,0.00017998112768260688
Sulfate Ion,water,kilogram,0.00016978538892889814
Air,air,kilogram,0.00015382650044094734
Peat,Resources / Resources from ground,megajoule,0.00014849961425429596
chloride,Emissions / Emissions to water,kilogram,0.00013669005319838346
Chromium,Resources / Resources from ground,kilogram,0.0001233879883048225
Sodium,water,kilogram,0.00011323292255807976
Radium-228,water,kilo Becquerel,0.00011121621155794567
Lead-210,water,kilo Becquerel,0.00011099652960203992
Uranium-238,Emissions / Emissions to water,kilo Becquerel,0.00010533943849724968
Iodine-131,Emissions / Emissions to air,kilo Becquerel,0.00010109764785085065
Used Air,air,kilogram,9.591396233146785e-05
Methane (fossil),Emissions / Emissions to air,kilogram,9.498139828339305e-05
Waste water,emissions to water / ocean,kilogram,9.459075418041543e-05
Cobalt-58,Emissions / Emissions to water,kilo Becquerel,9.444635860836994e-05
manganese,Emissions / Emissions to water,kilogram,9.371481693929143e-05
Silver-110,Emissions / Emissions to water,kilo Becquerel,8.82508443080392e-05
Nitrate,Emissions / Emissions to water,kilogram,8.789062714692857e-05
Cobalt-60,Emissions / Emissions to water,kilo Becquerel,8.71167646699679e-05
Sulfur Dioxide,Emissions / Emissions to air,kilogram,8.295683358811417e-05
Uranium alpha,emissions to air / low. pop.,kilo Becquerel,8.222050780085715e-05
Barite,resources / in ground,kilogram,7.978617889164062e-05
Mineral Extraction Site,Land use / Land occupation,square meter-year,7.936370010706721e-05
Xenon-133m,air,kilo Becquerel,7.805338634599595e-05
"To Arable, Non-irrigated, Intensive",Land use / Land transformation,square meter,7.294196437751672e-05
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,7.182709693657e-05
Nickel,Resources / Resources from ground,kilogram,7.133167419082761e-05
Methane (fossil),Emissions / Emissions to air,kilogram,6.950350685904345e-05
Uranium-235,Emissions / Emissions to water,kilo Becquerel,6.875504766363803e-05
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,6.858743218532876e-05
"Solids, Inorganic",water,kilogram,6.677849867938507e-05
"Arable, Non-irrigated, Intensive",Land use / Land occupation,square meter-year,6.613919085696306e-05
Methane (biogenic),Emissions / Emissions to air,kilogram,6.240427495411294e-05
"Energy, Gross Calorific Value, In Biomass, Primary Forest",natural resource,megajoule,6.137490957342408e-05
fluoride,Emissions / Emissions to water,kilogram,6.057835652652836e-05
Hypochlorite,water,kilogram,5.9146377361478165e-05
"TOC, Total Organic Carbon","emissions to water / groundwater, long-term",kilogram,5.84456816991691e-05
"DOC, Dissolved Organic Carbon","emissions to water / groundwater, long-term",kilogram,5.844568169916833e-05
Magnesite,soil,kilogram,5.837685410960008e-05
Phosphate,Emissions / Emissions to water,kilogram,5.650493531173549e-05
"Noise, road, passenger car, average",non material emissions / unspecified,kilometer,5.484822581829216e-05
Radium-226,Emissions / Emissions to air,kilo Becquerel,5.1371103749145986e-05
"From Arable, Non-irrigated, Intensive",Land use / Land transformation,square meter,5.1290113018180676e-05
Calcium,Emissions / Emissions to water,kilogram,4.981360359544359e-05
Basalt,soil,kilogram,4.788331079202808e-05
Radium-224,water,kilo Becquerel,4.778714278198217e-05
Nitrogen Oxides,Emissions / Emissions to air,kilogram,4.670538613424962e-05
Zinc,Resources / Resources from ground,kilogram,4.5614046379793534e-05
"Organic carbon, placed in landfill",resources / in ground,kilogram,4.24252716023274e-05
Uranium-234,Emissions / Emissions to water,kilo Becquerel,3.9935573896825824e-05
"BOD5, Biological Oxygen Demand","emissions to water / groundwater, long-term",kilogram,3.870975382739039e-05
Cesium-137,Emissions / Emissions to water,kilo Becquerel,3.817989420562892e-05
Thorium-228,water,kilo Becquerel,3.7985815843833927e-05
Lead,Resources / Resources from ground,kilogram,3.794105462131314e-05
Nitrogen Oxides,Emissions / Emissions to air,kilogram,3.674170727967682e-05
From Forest,Land use / Land transformation,square meter,3.622580404913651e-05
"Clay, bentonite",resources / in ground,kilogram,3.606853181536553e-05
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,3.55085833295764e-05
Calcium,Emissions / Emissions to water,kilogram,3.545025774165115e-05
"Traffic Area, Road Network",Land use / Land occupation,square meter-year,3.4701207001859195e-05
To Forest,Land use / Land transformation,square meter,3.382861461890798e-05
Particles (> PM10),air,kilogram,3.355480662764616e-05
Thorium-234,water,kilo Becquerel,3.3118971055660514e-05
Protactinium-234,water,kilo Becquerel,3.3112499914670726e-05
From Pasture/meadow,Land use / Land transformation,square meter,3.171197483893064e-05
Iron,Emissions / Emissions to water,kilogram,3.091395915884311e-05
zinc,Emissions / Emissions to water,kilogram,3.048330427883912e-05
Radon-220,air,kilo Becquerel,2.9776966843000782e-05
Radium-224,water,kilo Becquerel,2.8046779020790955e-05
"Radioactive Species, Other Beta Emitters",air,kilo Becquerel,2.8026208503351634e-05
Fluorspar,soil,kilogram,2.7641674868495982e-05
Sulfur Dioxide,Emissions / Emissions to air,kilogram,2.7621162146275294e-05
"To Arable, Non-irrigated",Land use / Land transformation,square meter,2.5755368427348823e-05
Radon-220,air,kilo Becquerel,2.5374317179496017e-05
strontium,Emissions / Emissions to water,kilogram,2.476051667940797e-05
"From Arable, Non-irrigated",Land use / Land transformation,square meter,2.442440378316603e-05
