flow,compartment,unit,amount
Radon-222,Emissions / Emissions to air,kilo Becquerel,393.83026033462386
"Noble Gases, Radioactive, Unspecified",air,kilo Becquerel,75.2080238348296
Uranium,Resources / Resources from ground,megajoule,5.328514313472092
Waste Heat,air,megajoule,4.724594114384478
Radon-222,Emissions / Emissions to air,kilo Becquerel,3.6451911899544442
Water,Emissions / Emissions to water,cubic meter,3.0532048546599446
Water to turbine,Resources / Resources from water,cubic meter,3.045457220456014
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,3.0310812970201986
Natural Gas,Resources / Resources from ground,megajoule,1.4064593257487954
Brown Coal,Resources / Resources from ground,megajoule,1.0609274107085893
Waste Heat,air,megajoule,0.8380035804653646
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,0.7150455398555016
"Energy, Solar, Converted",natural resource,megajoule,0.49129733594618047
"Energy, gross calorific value, in biomass",resources / biotic,megajoule,0.4682099495588281
Hard Coal,Resources / Resources from ground,megajoule,0.4203343302198986
"Energy, Potential (in Hydropower Reservoir), Converted",natural resource,megajoule,0.35354416268475586
Waste Heat,air,megajoule,0.17953836090743353
"Energy, Kinetic (in Wind), Converted",natural resource,megajoule,0.1315068540271157
Crude Oil,Resources / Resources from ground,megajoule,0.12547693076812927
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.11273510068090538
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.10910540795175899
Waste Heat,water,megajoule,0.1019810321924429
Xenon-133,Emissions / Emissions to air,kilo Becquerel,0.06578968028560607
"Noise, rail, freight train",non material emissions / unspecified,ton kilometer,0.05564565147945774
"Forest, Intensive",Land use / Land occupation,square meter-year,0.05495045064356791
Hydrogen-3,Emissions / Emissions to air,kilo Becquerel,0.05162226926633532
Krypton-85,Emissions / Emissions to air,kilo Becquerel,0.04796442657872692
carbon dioxide (biogenic),Resources / Resources from air,kilogram,0.04459953855866819
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,0.039406444258457636
"Water, salt, ocean",resources / in water,cubic meter,0.03919767568480485
Water,water,cubic meter,0.03918088265994785
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,0.025293409583813854
Sulfate,"emissions to water / groundwater, long-term",kilogram,0.021204087532491596
Radium-226,Emissions / Emissions to water,kilo Becquerel,0.020064722684472104
Gravel,soil,kilogram,0.017870153382715245
Waste Heat,soil,megajoule,0.016925785838936665
