flow,compartment,unit,amount
Radon-222,Emissions / Emissions to air,kilo Becquerel,2.3290626105843772
Waste Heat,air,megajoule,2.0827158511548367
Crude Oil,Resources / Resources from ground,megajoule,1.1619224793717915
Waste Heat,air,megajoule,1.0690472109390554
"Noble Gases, Radioactive, Unspecified",air,kilo Becquerel,0.7971904533004643
Waste Heat,water,megajoule,0.6634495231383881
Natural Gas,Resources / Resources from ground,megajoule,0.1486273043586285
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.0793858324462802
Waste Heat,air,megajoule,0.06687931883446753
Water,Emissions / Emissions to water,cubic meter,0.05506864806932222
Water to turbine,Resources / Resources from water,cubic meter,0.05455706430550837
"Energy, gross calorific value, in biomass",resources / biotic,megajoule,0.04300174767595864
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,0.0321073923503393
Uranium,Resources / Resources from ground,megajoule,0.031957372616910326
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,0.023803004974671277
Radon-222,Emissions / Emissions to air,kilo Becquerel,0.022283263980999397
Hard Coal,Resources / Resources from ground,megajoule,0.013713355837906806
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.011030339529914945
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,0.008907626544587089
"Energy, Potential (in Hydropower Reservoir), Converted",natural resource,megajoule,0.008561159414591223
Brown Coal,Resources / Resources from ground,megajoule,0.007644177375821949
"Energy, Kinetic (in Wind), Converted",natural resource,megajoule,0.0061479854157543545
"Water, salt, ocean",resources / in water,cubic meter,0.006005622316425887
Water,water,cubic meter,0.006002638760232777
"Noise, rail, freight train",non material emissions / unspecified,ton kilometer,0.0057910365477238015
Radium-226,Emissions / Emissions to water,kilo Becquerel,0.004285026825222514
Chemically polluted water,emissions to water / river,kilogram,0.004079022722936508
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.0040026976966933804
carbon dioxide (biogenic),Resources / Resources from air,kilogram,0.0039540690911298035
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,0.003741067857722974
"Energy, Solar, Converted",natural resource,megajoule,0.0031689818239731384
"To Arable, Non-irrigated, Intensive",Land use / Land transformation,square meter,0.0031605798522626512
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,0.002813531224793554
Gravel,soil,kilogram,0.002670369240204765
"Arable, Non-irrigated, Intensive",Land use / Land occupation,square meter-year,0.002646396583236494
"From Arable, Non-irrigated, Intensive",Land use / Land transformation,square meter,0.0022439604659967175
Non-methane Volatile Organic Compounds,Emissions / Emissions to air,kilogram,0.001122799557039502
"Noise, road, lorry, average",non material emissions / unspecified,kilometer,0.0010354494022545566
Iron,Resources / Resources from ground,kilogram,0.0009873109018535093
From Pasture/meadow,Land use / Land transformation,square meter,0.0009335893049654447
To Arable,Land use / Land transformation,square meter,0.0008519774532152485
From Arable,Land use / Land transformation,square meter,0.0008502127812231195
"Waste mass, total, placed in landfill",resources / in ground,kilogram,0.0006755041403855663
"To Arable, Non-irrigated",Land use / Land transformation,square meter,0.0005979282131264692
Calcite,resources / in ground,kilogram,0.0005900188040541668
"Forest, Intensive",Land use / Land occupation,square meter-year,0.0005691598055684592
Chloride,Emissions / Emissions to water,kilogram,0.0005681306832757059
"From Arable, Non-irrigated",Land use / Land transformation,square meter,0.000563469216562547
Arable,Land use / Land occupation,square meter-year,0.000496295609942402
"Heat, waste","emissions to water / groundwater, long-term",megajoule,0.0004954186697972735
Hydrogen-3,Emissions / Emissions to air,kilo Becquerel,0.0004920053485829863
Chloride,Emissions / Emissions to water,kilogram,0.0004851774524677299
Platinum,air,kilogram,0.0004624043245796458
Lead-210,water,kilo Becquerel,0.0004227883199139341
Radium-228,water,kilo Becquerel,0.00039424279855000444
Methane (fossil),Emissions / Emissions to air,kilogram,0.0003670863919951233
"Arable, Non-irrigated",Land use / Land occupation,square meter-year,0.0003562019323135222
Waste Heat,soil,megajoule,0.00034051537703411324
"Volume Occupied, Reservoir",land use,cubic meter-year,0.000311111603297119
Krypton-85,Emissions / Emissions to air,kilo Becquerel,0.000296517443122659
Water To Cooling,Resources / Resources from water,cubic meter,0.0002933683849322257
Radium-228,water,kilo Becquerel,0.0002883945994762128
Sodium,water,kilogram,0.00028738729945076454
Lead-210,water,kilo Becquerel,0.0002738291996741348
Sulfate,"emissions to water / groundwater, long-term",kilogram,0.0002566794302908696
Sodium,water,kilogram,0.00023418641547909942
Water,Resources / Resources from water,cubic meter,0.00022323946934520565
Xenon-133,Emissions / Emissions to air,kilo Becquerel,0.00021090223798356456
"Radioactive species, unspecified",emissions to air / unspecified,kilo Becquerel,0.00020214674944765216
Industrial Area,Land use / Land occupation,square meter-year,0.00018643161257773583
Waste Heat,water,megajoule,0.00018011111382016634
Strontium-90,Emissions / Emissions to water,kilo Becquerel,0.00016722280787563663
"Energy, Gross Calorific Value, In Biomass, Primary Forest",natural resource,megajoule,0.00016683979906569816
Barite,resources / in ground,kilogram,0.00015169196227208476
calcium,Emissions / Emissions to water,kilogram,0.00015140817441350353
Dolomite,soil,kilogram,0.00014467732448719873
Nitrogen Oxides,Emissions / Emissions to air,kilogram,0.00013476534285287184
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,0.00012933948549358415
Silicon,Emissions / Emissions to water,kilogram,0.00012314694219324495
Radium-224,water,kilo Becquerel,9.940832181168417e-05
Forest,Land use / Land occupation,square meter-year,9.307307489809869e-05
Clay,soil,kilogram,8.735244971048174e-05
Calcium,Emissions / Emissions to water,kilogram,8.656553526948853e-05
