flow,compartment,unit,amount
Radon-222,Emissions / Emissions to air,kilo Becquerel,28.538211221357678
"Noble Gases, Radioactive, Unspecified",air,kilo Becquerel,9.839256625963781
Waste Heat,air,megajoule,2.784445668627819
Water,Emissions / Emissions to water,cubic meter,2.0767563336455814
Water to turbine,Resources / Resources from water,cubic meter,2.070555300106975
Calcite,resources / in ground,kilogram,1.6486502685015394
Crude Oil,Resources / Resources from ground,megajoule,1.4341888377615322
Waste Heat,water,megajoule,0.7954003052235675
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.7760529311302969
"Heat, waste","emissions to water / groundwater, long-term",megajoule,0.6675026550746586
Waste Heat,air,megajoule,0.5804088788577874
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,0.39605039445586465
Uranium,Resources / Resources from ground,megajoule,0.38534428104549223
Radon-222,Emissions / Emissions to air,kilo Becquerel,0.25714954829715275
Chloride,Emissions / Emissions to water,kilogram,0.25088802559705825
Natural Gas,Resources / Resources from ground,megajoule,0.22441290283466706
"Energy, Potential (in Hydropower Reservoir), Converted",natural resource,megajoule,0.22267520522305884
"Noise, rail, freight train",non material emissions / unspecified,ton kilometer,0.20083355293584468
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,0.07672410357949028
Potassium-40,water,kilo Becquerel,0.05900164103066648
Waste Heat,soil,megajoule,0.05765523831548926
Waste Heat,air,megajoule,0.05577031505240481
Hard Coal,Resources / Resources from ground,megajoule,0.053352358225000444
Brown Coal,Resources / Resources from ground,megajoule,0.05258219333425265
Calcium,Emissions / Emissions to water,kilogram,0.050111954147756065
Lead-210,water,kilo Becquerel,0.047349456585623596
Polonium-210,water,kilo Becquerel,0.047001406713541
"Energy, Kinetic (in Wind), Converted",natural resource,megajoule,0.045089113362442715
Radium-226,Emissions / Emissions to water,kilo Becquerel,0.03511173356108724
"Energy, gross calorific value, in biomass",resources / biotic,megajoule,0.034924627944796
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.029522547006608175
Gravel,soil,kilogram,0.02824589075973539
"Energy, Solar, Converted",natural resource,megajoule,0.02415361712986493
Uranium-238,Emissions / Emissions to water,kilo Becquerel,0.02300997362573375
river water,Resources / Resources from water,cubic meter,0.020844491469671354
Sodium chloride,resources / in ground,kilogram,0.016944664417684153
Thorium-232,emissions to water / river,kilo Becquerel,0.011000309249880607
Sulfate Ion,water,kilogram,0.010165892499596946
Magnesium,Emissions / Emissions to water,kilogram,0.010035937852810619
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,0.00892796392926737
"Water, salt, ocean",resources / in water,cubic meter,0.00868247997145478
Water,water,cubic meter,0.008648415508766459
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.008426009283368514
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,0.006957090311045048
"Waste mass, total, placed in landfill",resources / in ground,kilogram,0.0062188598494272145
"Noise, road, lorry, average",non material emissions / unspecified,kilometer,0.00568308767792057
Hydrogen-3,Emissions / Emissions to air,kilo Becquerel,0.0056646493427867555
Nitrate,Emissions / Emissions to water,kilogram,0.005175083406893142
"COD, Chemical Oxygen Demand","emissions to water / groundwater, long-term",kilogram,0.0047427308498977465
Xenon-133,Emissions / Emissions to air,kilo Becquerel,0.0045198828378449725
Chemically polluted water,emissions to water / river,kilogram,0.004317415626131483
Water,Resources / Resources from water,cubic meter,0.004316778617376567
"TOC, Total Organic Carbon","emissions to water / groundwater, long-term",kilogram,0.004304143673179601
"DOC, Dissolved Organic Carbon","emissions to water / groundwater, long-term",kilogram,0.004304143673179601
carbon dioxide (biogenic),Resources / Resources from air,kilogram,0.0035428254498111648
"Forest, Intensive",Land use / Land occupation,square meter-year,0.003396990577382483
"Volume Occupied, Reservoir",land use,cubic meter-year,0.0030333906285001664
Sodium,water,kilogram,0.0028389471592394962
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,0.0027189175690784714
Platinum,air,kilogram,0.0027169579630485965
calcium,Emissions / Emissions to water,kilogram,0.0021078035863420935
Water To Cooling,Resources / Resources from water,cubic meter,0.002013849842997565
Krypton-85,Emissions / Emissions to air,kilo Becquerel,0.0018848752426488125
Sulfate,"emissions to water / groundwater, long-term",kilogram,0.001801321392507386
Xenon-135,air,kilo Becquerel,0.0017617164036835885
"Radioactive species, unspecified",emissions to air / unspecified,kilo Becquerel,0.0016790568216957123
Clay,soil,kilogram,0.0014376421180291121
Methane (biogenic),Emissions / Emissions to air,kilogram,0.0012447745646180309
Carbon-14,Emissions / Emissions to air,kilo Becquerel,0.0011796489678241881
Iron,Resources / Resources from ground,kilogram,0.0011498004684164101
"BOD5, Biological Oxygen Demand","emissions to water / groundwater, long-term",kilogram,0.001125293442325562
Forest,Land use / Land occupation,square meter-year,0.0011206903231933973
Xenon-135m,air,kilo Becquerel,0.001098273795059271
Strontium-90,Emissions / Emissions to water,kilo Becquerel,0.0010937925410048042
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,0.000994468526427045
Carbon Monoxide (fossil),Emissions / Emissions to air,kilogram,0.0009716169523744808
Chemical Oxygen Demand,water,kilogram,0.0008203980814301739
aluminium,Emissions / Emissions to water,kilogram,0.0007956143514771206
Chloride,Emissions / Emissions to water,kilogram,0.000693605613914227
Silicon,Emissions / Emissions to water,kilogram,0.0005014175558689452
Sulfur Dioxide,Emissions / Emissions to air,kilogram,0.0004978516759225379
Peat,Resources / Resources from ground,megajoule,0.000492574608309255
Radium-228,water,kilo Becquerel,0.00048165812053685734
