flow,compartment,unit,amount
Natural Gas,Resources / Resources from ground,megajoule,0.9318391831969435
Waste Heat,air,megajoule,0.9091857755774719
Radon-222,Emissions / Emissions to air,kilo Becquerel,0.49729574014443695
"Noble Gases, Radioactive, Unspecified",air,kilo Becquerel,0.15426203897584484
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.04557221876225111
Water,Emissions / Emissions to water,cubic meter,0.016485665428406782
Water to turbine,Resources / Resources from water,cubic meter,0.016387252421871848
Crude Oil,Resources / Resources from ground,megajoule,0.014391634122450907
Waste Heat,air,megajoule,0.012010251713289864
Hard Coal,Resources / Resources from ground,megajoule,0.007780591059240933
Waste Heat,water,megajoule,0.006853110199914466
Uranium,Resources / Resources from ground,megajoule,0.00675199790802836
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,0.006249218776978694
Radon-222,Emissions / Emissions to air,kilo Becquerel,0.004739183905070903
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,0.004380342093118711
Radium-226,Emissions / Emissions to water,kilo Becquerel,0.0031992207662012422
Gravel,soil,kilogram,0.002831101047192545
Waste Heat,air,megajoule,0.0027015856329188756
Chemically polluted water,emissions to water / river,kilogram,0.0024798093927888196
"Energy, Potential (in Hydropower Reservoir), Converted",natural resource,megajoule,0.0022888409890959964
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.0022351882979612233
"Noise, rail, freight train",non material emissions / unspecified,ton kilometer,0.0018851024767369555
Methane (fossil),Emissions / Emissions to air,kilogram,0.0018637783182516676
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.001601916006664193
Brown Coal,Resources / Resources from ground,megajoule,0.0015607649121509404
"Energy, gross calorific value, in biomass",resources / biotic,megajoule,0.0012969568532774488
"Energy, Kinetic (in Wind), Converted",natural resource,megajoule,0.0012870990841256894
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,0.001186848493144128
"Waste mass, total, placed in landfill",resources / in ground,kilogram,0.0009148010478593772
"Water, salt, ocean",resources / in water,cubic meter,0.0007558108708458139
Water,water,cubic meter,0.0007549385925740352
"Energy, Solar, Converted",natural resource,megajoule,0.0007110439731315357
"Noise, road, lorry, average",non material emissions / unspecified,kilometer,0.0006514560365678044
Iron,Resources / Resources from ground,kilogram,0.0006281041026717717
Chloride,Emissions / Emissions to water,kilogram,0.0005549849355102335
Calcite,resources / in ground,kilogram,0.00045663041567288383
Radium-228,water,kilo Becquerel,0.00038681210129689567
Lead-210,water,kilo Becquerel,0.00036797917801429427
Waste Heat,water,megajoule,0.00027586712886989984
Sodium,water,kilogram,0.00027242035300546687
Krypton-85,Emissions / Emissions to air,kilo Becquerel,0.00020665629213660795
Chloride,Emissions / Emissions to water,kilogram,0.0002055373608596047
"Radioactive species, unspecified",emissions to air / unspecified,kilo Becquerel,0.00016158561126171792
Ethane,Emissions / Emissions to air,kilogram,0.00015384646896453647
Radium-228,water,kilo Becquerel,0.00013695297084044482
carbon dioxide (biogenic),Resources / Resources from air,kilogram,0.00013400310941917302
Lead-210,water,kilo Becquerel,0.0001300564018733312
Platinum,air,kilogram,0.00010964687232402333
Hydrogen-3,Emissions / Emissions to air,kilo Becquerel,0.00010950611243139052
"Forest, Intensive",Land use / Land occupation,square meter-year,0.00010696220357830434
Nitrogen Oxides,Emissions / Emissions to air,kilogram,0.00010487625092919567
Sodium,water,kilogram,9.769615919263434e-05
Radium-224,water,kilo Becquerel,9.753432946099277e-05
Dolomite,soil,kilogram,9.238695874942698e-05
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,9.170971606327406e-05
Water To Cooling,Resources / Resources from water,cubic meter,7.976605348799272e-05
