flow,compartment,unit,amount
Radon-222,Emissions / Emissions to air,kilo Becquerel,1509.72561458056
"Noble Gases, Radioactive, Unspecified",air,kilo Becquerel,116.5690166198145
Waste Heat,air,megajoule,59.04825388880843
Hard Coal,Resources / Resources from ground,megajoule,41.11692994572407
Water,Emissions / Emissions to water,cubic meter,37.21240183900948
Waste Heat,air,megajoule,33.21320825103729
Water to turbine,Resources / Resources from water,cubic meter,32.26064496715311
Natural Gas,Resources / Resources from ground,megajoule,25.242795259591468
"Energy, gross calorific value, in biomass",resources / biotic,megajoule,23.058679884419455
Uranium,Resources / Resources from ground,megajoule,20.494486438640873
Waste Heat,air,megajoule,17.30367031646063
Crude Oil,Resources / Resources from ground,megajoule,16.839938898734186
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,15.904284819269565
Radon-222,Emissions / Emissions to air,kilo Becquerel,14.314394972825555
Waste Heat,water,megajoule,10.385497057645281
To Arable,Land use / Land transformation,square meter,10.060624254414966
Arable,Land use / Land occupation,square meter-year,10.060531026460758
From Arable,Land use / Land transformation,square meter,10.060500757913605
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,5.355511778080596
Hydrogen-3,Emissions / Emissions to water,kilo Becquerel,5.067305391269726
"Energy, Potential (in Hydropower Reservoir), Converted",natural resource,megajoule,4.8613192054222925
Waste Heat,water,megajoule,4.804012751393384
"Energy, Kinetic (in Wind), Converted",natural resource,megajoule,4.107200805640046
Ground Water,Resources / Resources from water,cubic meter,4.074471612207086
"Energy, Solar, Converted",natural resource,megajoule,2.4765480020152113
carbon dioxide (biogenic),Resources / Resources from air,kilogram,2.0652751778300904
"Noise, rail, freight train",non material emissions / unspecified,ton kilometer,1.9665946750744194
Waste Heat,soil,megajoule,1.4950957235194644
"Heat, waste","emissions to water / groundwater, long-term",megajoule,1.2441336692892442
river water,Resources / Resources from water,cubic meter,1.1840201348652253
Brown Coal,Resources / Resources from ground,megajoule,1.0851877830671486
"Radioactive Species, Nuclides, Unspecified",water,kilo Becquerel,1.014273920249286
Gravel,soil,kilogram,0.9596119133998039
"Radioactive species, unspecified",emissions to air / unspecified,kilo Becquerel,0.9020873818933003
"Water, salt, ocean",resources / in water,cubic meter,0.8921265106977954
Water,water,cubic meter,0.8901645866967338
Krypton-85,Emissions / Emissions to air,kilo Becquerel,0.799963336402034
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.6774822978652044
Carbon Dioxide (fossil),Emissions / Emissions to air,kilogram,0.5472658675906491
Waste Heat,water,megajoule,0.5194798389223677
Hydrogen-3,Emissions / Emissions to air,kilo Becquerel,0.41685169052828436
Radium-226,Emissions / Emissions to water,kilo Becquerel,0.4091213612651046
"Forest, Intensive",Land use / Land occupation,square meter-year,0.3174147003586282
"Waste mass, total, placed in landfill",resources / in ground,kilogram,0.3144991889158522
Polonium-210,water,kilo Becquerel,0.3027465924590654
"Noise, road, lorry, average",non material emissions / unspecified,kilometer,0.2624172867458915
Potassium chloride,resources / in ground,kilogram,0.23885090263896802
chloride,Emissions / Emissions to water,kilogram,0.209550516444249
Sulfate,"emissions to water / groundwater, long-term",kilogram,0.20851846081056993
Lead-210,water,kilo Becquerel,0.20762522844000597
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,0.1763294814134071
Water To Cooling,Resources / Resources from water,cubic meter,0.16261789818532074
Calcite,resources / in ground,kilogram,0.16153068374503526
"Volume Occupied, Reservoir",land use,cubic meter-year,0.16018558783895784
Chloride,Emissions / Emissions to water,kilogram,0.15726222305519372
Sulfate Ion,water,kilogram,0.151054609280328
Chemically polluted water,emissions to water / river,kilogram,0.12744283749349303
Sodium,"emissions to water / groundwater, long-term",kilogram,0.12307737408622305
Platinum,air,kilogram,0.11046001039964005
Iron,Resources / Resources from ground,kilogram,0.1060258725282976
Uranium-238,Emissions / Emissions to water,kilo Becquerel,0.10178282496826234
Forest,Land use / Land occupation,square meter-year,0.09677056610899494
Sodium,water,kilogram,0.08462799301669652
Calcium,Emissions / Emissions to water,kilogram,0.07783545046381805
Industrial Area,Land use / Land occupation,square meter-year,0.07418936633347657
Nitrate,Emissions / Emissions to water,kilogram,0.07314963073328028
calcium,Emissions / Emissions to water,kilogram,0.07088313357575193
Silicon,Emissions / Emissions to water,kilogram,0.04916977305361293
Carbon Dioxide (biogenic),Emissions / Emissions to air,kilogram,0.04843133120932627
Xenon-133,Emissions / Emissions to air,kilo Becquerel,0.04176608879968175
Phosphorus,Resources / Resources from ground,kilogram,0.040693205710162154
