code,name,family,detected_by,report,class,basis
e6293140-cad8-32a8-81fc-64a059fd97ea,"Anthraquinone, at plant",ecoinvent-v2-confidential,flag,drafted,enough information,rebuilt (S3)
efaba904-8105-36f4-960e-c01d962787eb,"Particle board, cement bonded, at plant",ecoinvent-v2-confidential,flag,drafted,enough information,rebuilt (S3)
f29ea928-dad4-33fe-ac09-33391c25e0ae,"Titanium dioxide at plant, sulphate process, at plant",ecoinvent-v2-confidential,flag,drafted,enough information,rebuilt (S3)
bc92bf5a-94f5-3d3c-865f-278a6ba99440,"Titanium dioxide, chloride process, at plant",ecoinvent-v2-confidential,flag,drafted,enough information,rebuilt (S3)
be501b1b-8393-3760-8658-39e93bcd6934,"Wood preservative, inorganic salt, containing Cr, at plant",ecoinvent-v2-confidential,flag,drafted,enough information,rebuilt (S3)
1b7a81dc-1797-3c93-ae60-f239501da3c3,"Wood preservative, organic salt, Cr-free, at plant",ecoinvent-v2-confidential,flag,drafted,enough information,rebuilt (S3)
ddefdbda-3a45-39fc-84ad-17c4c7bdc3f9,"xx Packaging glass, brown, at plant",ecoinvent-v2-confidential,flag,pages-not-found,enough information,rebuilt (S2)
a66b5e9d-fce8-3d9d-afc4-8c422a9b9410,"xx Packaging glass, brown, at regional storage",ecoinvent-v2-confidential,flag,pages-not-found,enough information,rebuilt (S3)
b3da2a0c-5179-317d-8f16-84285a50248f,"xx Packaging glass, green, at plant",ecoinvent-v2-confidential,flag,pages-not-found,enough information,rebuilt (S2)
fdbb581d-5d5c-31e2-ab83-aaa51229114d,"xx Packaging glass, green, at regional storage",ecoinvent-v2-confidential,flag,pages-not-found,enough information,rebuilt (S3)
22f39631-187e-3cce-b067-be74006bb52a,"xx Packaging glass, white, at plant",ecoinvent-v2-confidential,flag,pages-not-found,enough information,rebuilt (S2)
6d36bf06-a935-397b-871f-5da5b0b79b0b,"xx Packaging glass, white, at regional storage",ecoinvent-v2-confidential,flag,pages-not-found,enough information,rebuilt (S3)
2b7663df-e40b-3aa9-b7ee-2ae098409a40,"xxx Wood wool boards, cement bonded, at plant",ecoinvent-v2-confidential,flag,drafted,enough information,rebuilt (S2)
582ad303-7f18-3110-83c2-bccca0dc995f,"Ethylene glycol, at plant",plasticseurope,flag,pages-not-found,enough information,rebuilt (S2)
c7af8832-9551-38fd-a628-363e6fc17c8e,"Polyethylene terephthalate, granulate, bottle grade, at plant",plasticseurope,flag,pages-not-found,enough information,rebuilt (S2)
6738f024-eb64-3ef8-837e-05b84c6e43da,"Polyethylene, HDPE, granulate, at plant",plasticseurope,flag,pages-not-found,enough information,rebuilt (S3)
c4dbbb99-22d0-37c1-8cc7-fc5a8c64329b,"Polyethylene, LDPE, granulate, at plant",plasticseurope,flag,pages-not-found,enough information,rebuilt (S3)
df878822-0deb-3a59-a6b4-396d94a3b654,"Polyethylene, LLDPE, granulate, at plant",plasticseurope,flag,pages-not-found,enough information,rebuilt (S3)
09cda8b1-b652-39b2-8761-c93aecc29f70,"Polypropylene, granulate, at plant",plasticseurope,flag,pages-not-found,enough information,rebuilt (S3)
05a10e4b-a919-33b6-b017-7c0bf7f7a7f9,"Polystyrene, expandable, at plant",plasticseurope,flag,pages-not-found,enough information,rebuilt (S3)
015cd7db-8a64-3f0b-ba15-6ff81e3d1eb4,"Polyvinylchloride, emulsion polymerised, at plant",plasticseurope,flag,pages-not-found,enough information,rebuilt (S3)
48985f3e-97b4-3128-a1a8-a5ba91a1cb88,"Polyvinylchloride, suspension polymerised, at plant",plasticseurope,flag,pages-not-found,enough information,rebuilt (S3)
bfff239d-8ae3-3730-a048-dffb312515f3,"Purified terephthalic acid, at plant",plasticseurope,flag,pages-not-found,enough information,rebuilt (S3)
99a93e93-a8a8-34f3-88f3-6af0c21c4762,"Vinyl chloride, at plant",plasticseurope,flag,pages-not-found,enough information,rebuilt (S3)
a29aa0d5-9e37-34d7-8868-8a4fff95350a,"Xylene, at plant",plasticseurope,flag,pages-not-found,enough information,rebuilt (S3)
f44d9ac3-f0cb-311d-bdba-3fd3946b573c,"Acetone, liquid, at plant",structure,structure,drafted,enough information,rebuilt (S3)
dad0fc14-f7f9-3292-8754-ac91fe7c2825,"Acrylonitrile-butadiene-styrene copolymer, ABS, at plant",structure,structure,pages-not-found,enough information,rebuilt (S3)
cc45b5d8-b51c-3511-9138-6328a672d020,"Benzene, at plant",structure,structure,pages-not-found,enough information,rebuilt (S2)
c80b8e9e-8a0d-36f6-a4a2-1509d03e42c2,"Epoxy resin, liquid, at plant",structure,structure,drafted,enough information,rebuilt (S2)
0f667d2d-2007-3185-8aeb-0b8e6fbdfb5c,"Hydrogen cyanide, at plant",structure,structure,drafted,enough information,rebuilt (S3)
291b03c4-2679-3b22-afb9-60c0228619f2,"Methyl methacrylate, at plant",structure,structure,pages-not-found,enough information,rebuilt (S3)
c35b697b-e4d0-3d3b-874f-8e1554a6ad67,"Methylene diphenyl diisocyanate, at plant",structure,structure,pages-not-found,enough information,rebuilt (S3)
a1d7a889-ea1b-3f62-b741-f16ed300f920,"Naphtha, APME mix, at refinery",structure,structure,pages-not-found,enough information,rebuilt (S2)
9cd9d57f-0df0-3a2c-bb24-c50f0a1b2286,"Nylon 66, at plant",structure,structure,pages-not-found,enough information,rebuilt (S3)
330e6ef1-e66d-3745-8b7f-eca35c8869a6,"Nylon 66, glass-filled, at plant",structure,structure,pages-not-found,enough information,rebuilt (S3)
5e272c8e-e9bc-3aa1-829e-035140910236,"Polybutadiene, at plant",structure,structure,pages-not-found,enough information,rebuilt (S3)
53117f8b-9311-37b3-bf5b-6e14b2ae711c,"Polycarbonate, at plant",structure,structure,pages-not-found,enough information,rebuilt (S3)
cde75755-0bae-3223-89c8-c38412981461,"Polymethyl methacrylate, beads, at plant",structure,structure,pages-not-found,enough information,rebuilt (S3)
09913ea6-df42-3720-8981-e46d587a30d8,"Polymethyl methacrylate, sheet, at plant",structure,structure,pages-not-found,enough information,rebuilt (S3)
ec16c280-6141-3c0b-a896-b895d82ef62d,"Polyols, at plant",structure,structure,pages-not-found,enough information,rebuilt (S3)
1235438d-3385-3bd1-8921-17951c10c464,"Polystyrene, general purpose, GPPS, at plant",structure,structure,pages-not-found,enough information,rebuilt (S3)
b2ddf286-46b3-3a00-8b8a-c38b11ced364,"Polystyrene, high impact, HIPS, at plant",structure,structure,pages-not-found,enough information,rebuilt (S3)
